district	town
Regional High School District  06	Goshen
Regional High School District  06	Morris
Regional High School District  06	Warren
Regional High School District  10	Burlington
Regional High School District  10	Harwinton
Regional High School District  12	Bridgewater
Regional High School District  12	Roxbury
Regional High School District  12	Washington
Regional High School District  13	Durham
Regional High School District  13	Middlefield
Regional High School District  14	Bethlehem
Regional High School District  14	Woodbury
Regional High School District  15	Middlebury
Regional High School District  15	Southbury
Regional High School District  16	Beacon Falls
Regional High School District  16	Prospect
Regional High School District  17	Haddam
Regional High School District  17	Killingworth
Regional High School District  18	Lyme
Regional High School District  18	Old Lyme
Regional High School District 01	Canaan
Regional High School District 01	Cornwall
Regional High School District 01	Kent
Regional High School District 01	North Canaan
Regional High School District 01	Salisbury
Regional High School District 01	Sharon
Regional High School District 04	Chester
Regional High School District 04	Deep River
Regional High School District 04	Essex
Regional High School District 05	Bethany
Regional High School District 05	Orange
Regional High School District 05	Woodbridge
Regional High School District 07	Barkhamsted
Regional High School District 07	Colebrook
Regional High School District 07	New Hartford
Regional High School District 07	Norfolk
Regional High School District 08	Andover
Regional High School District 08	Hebron
Regional High School District 08	Marlborough
Regional High School District 09	Easton
Regional High School District 09	Redding
Regional High School District 11	Chaplin
Regional High School District 11	Hampton
Regional High School District 11	Scotland
Regional High School District 19	Ashford
Regional High School District 19	Mansfield
Regional High School District 19	Willington
