town	category 1990	category
Andover	Rural	Rural
Ansonia	Urban Periphery	Urban Periphery
Ashford	Rural	Rural
Avon	Wealthy	Suburban
Barkhamsted	Rural	Rural
Beacon Falls	Rural	Rural
Berlin	Suburban	Suburban
Bethany	Rural	Suburban
Bethel	Suburban	Suburban
Bethlehem	Rural	Suburban
Bloomfield	Suburban	Urban Periphery
Bolton	Rural	Suburban
Bozrah	Rural	Rural
Branford	Suburban	Urban Periphery
Bridgeport	Urban Core	Urban Core
Bridgewater	Wealthy	Suburban
Bristol	Urban Periphery	Urban Periphery
Brookfield	Suburban	Suburban
Brooklyn	Rural	Rural
Burlington	Rural	Suburban
Canaan	Rural	Rural
Canterbury	Rural	Rural
Canton	Rural	Rural
Chaplin	Rural	Rural
Cheshire	Suburban	Suburban
Chester	Rural	Suburban
Clinton	Suburban	Suburban
Colchester	Rural	Rural
Colebrook	Rural	Rural
Columbia	Rural	Suburban
Cornwall	Rural	Rural
Coventry	Rural	Rural
Cromwell	Suburban	Suburban
Danbury	Suburban	Urban Periphery
Darien	Wealthy	Wealthy
Deep River	Rural	Rural
Derby	Urban Periphery	Urban Periphery
Durham	Rural	Suburban
East Granby	Rural	Suburban
East Haddam	Rural	Rural
East Hampton	Rural	Rural
East Hartford	Urban Periphery	Urban Periphery
East Haven	Urban Periphery	Urban Periphery
East Lyme	Rural	Rural
East Windsor	Rural	Rural
Eastford	Rural	Rural
Easton	Wealthy	Wealthy
Ellington	Rural	Suburban
Enfield	Suburban	Urban Periphery
Essex	Suburban	Suburban
Fairfield	Suburban	Suburban
Farmington	Suburban	Suburban
Franklin	Rural	Rural
Glastonbury	Suburban	Suburban
Goshen	Rural	Rural
Granby	Rural	Suburban
Greenwich	Wealthy	Wealthy
Griswold	Rural	Rural
Groton	Urban Periphery	Urban Periphery
Guilford	Suburban	Suburban
Haddam	Rural	Suburban
Hamden	Suburban	Urban Periphery
Hampton	Rural	Rural
Hartford	Urban Core	Urban Core
Hartland	Rural	Rural
Harwinton	Rural	Suburban
Hebron	Rural	Suburban
Kent	Rural	Rural
Killingly	Rural	Rural
Killingworth	Rural	Suburban
Lebanon	Rural	Rural
Ledyard	Rural	Rural
Lisbon	Rural	Rural
Litchfield	Rural	Rural
Lyme	Rural	Suburban
Madison	Suburban	Suburban
Manchester	Urban Periphery	Urban Periphery
Mansfield	Rural	Rural
Marlborough	Rural	Suburban
Meriden	Urban Periphery	Urban Periphery
Middlebury	Rural	Suburban
Middlefield	Rural	Rural
Middletown	Suburban	Urban Periphery
Milford	Urban Periphery	Urban Periphery
Monroe	Suburban	Suburban
Montville	Rural	Rural
Morris	Rural	Rural
Naugatuck	Urban Periphery	Urban Periphery
New Britain	Urban Core	Urban Core
New Canaan	Wealthy	Wealthy
New Fairfield	Suburban	Suburban
New Hartford	Rural	Suburban
New Haven	Urban Core	Urban Core
New London	Urban Core	Urban Core
New Milford	Rural	Rural
Newington	Urban Periphery	Urban Periphery
Newtown	Suburban	Suburban
Norfolk	Rural	Rural
North Branford	Suburban	Suburban
North Canaan	Rural	Rural
North Haven	Suburban	Suburban
North Stonington	Rural	Rural
Norwalk	Urban Periphery	Urban Periphery
Norwich	Urban Periphery	Urban Periphery
Old Lyme	Rural	Rural
Old Saybrook	Suburban	Suburban
Orange	Suburban	Suburban
Oxford	Rural	Suburban
Plainfield	Rural	Rural
Plainville	Urban Periphery	Urban Periphery
Plymouth	Rural	Rural
Pomfret	Rural	Rural
Portland	Rural	Rural
Preston	Rural	Rural
Prospect	Suburban	Suburban
Putnam	Rural	Rural
Redding	Wealthy	Suburban
Ridgefield	Wealthy	Wealthy
Rocky Hill	Suburban	Urban Periphery
Roxbury	Rural	Suburban
Salem	Rural	Suburban
Salisbury	Rural	Rural
Scotland	Rural	Rural
Seymour	Suburban	Urban Periphery
Sharon	Rural	Rural
Shelton	Suburban	Suburban
Sherman	Rural	Suburban
Simsbury	Wealthy	Suburban
Somers	Rural	Rural
South Windsor	Suburban	Suburban
Southbury	Rural	Suburban
Southington	Suburban	Suburban
Sprague	Rural	Rural
Stafford	Rural	Rural
Stamford	Urban Periphery	Urban Periphery
Sterling	Rural	Rural
Stonington	Rural	Rural
Stratford	Urban Periphery	Urban Periphery
Suffield	Rural	Suburban
Thomaston	Rural	Rural
Thompson	Rural	Rural
Tolland	Rural	Suburban
Torrington	Urban Periphery	Urban Periphery
Trumbull	Suburban	Suburban
Union	Rural	Rural
Vernon	Urban Periphery	Urban Periphery
Voluntown	Rural	Rural
Wallingford	Suburban	Suburban
Warren	Rural	Rural
Washington	Rural	Suburban
Waterbury	Urban Periphery	Urban Core
Waterford	Rural	Rural
Watertown	Suburban	Suburban
West Hartford	Urban Periphery	Urban Periphery
West Haven	Urban Periphery	Urban Periphery
Westbrook	Rural	Rural
Weston	Wealthy	Wealthy
Westport	Wealthy	Wealthy
Wethersfield	Urban Periphery	Urban Periphery
Willington	Rural	Rural
Wilton	Wealthy	Wealthy
Winchester	Rural	Rural
Windham	Urban Periphery	Urban Periphery
Windsor	Suburban	Suburban
Windsor Locks	Suburban	Urban Periphery
Wolcott	Suburban	Suburban
Woodbridge	Wealthy	Suburban
Woodbury	Rural	Suburban
Woodstock	Rural	Rural
