Candidate Name,Party Name,Office Name,Town Name,Vote Totals,Local District
Biden and Harris,Democratic Party,Presidential Electors for,Andover,1058,Andover Elementary School Gymnasium
Trump and Pence,Republican Party,Presidential Electors for,Andover,998,Andover Elementary School Gymnasium
Jorgensen and Cohen,Libertarian Party,Presidential Electors for,Andover,27,Andover Elementary School Gymnasium
Hawkins and Walker,Green Party,Presidential Electors for,Andover,8,Andover Elementary School Gymnasium
Carroll and Patel,Write In,Presidential Electors for,Andover,0,Andover Elementary School Gymnasium
Charles and Wallace,Write In,Presidential Electors for,Andover,0,Andover Elementary School Gymnasium
De La Fuenta and Richardson,Write In,Presidential Electors for,Andover,0,Andover Elementary School Gymnasium
Howard and Howard,Write In,Presidential Electors for,Andover,0,Andover Elementary School Gymnasium
Klojzy and LeMay,Write In,Presidential Electors for,Andover,0,Andover Elementary School Gymnasium
Simmons and Dow,Write In,Presidential Electors for,Andover,0,Andover Elementary School Gymnasium
Simmons and Roze,Write In,Presidential Electors for,Andover,0,Andover Elementary School Gymnasium
Weinstein and Weinstein,Write In,Presidential Electors for,Andover,0,Andover Elementary School Gymnasium
Wells and Wells,Write In,Presidential Electors for,Andover,0,Andover Elementary School Gymnasium
West and Tidball,Write In,Presidential Electors for,Andover,0,Andover Elementary School Gymnasium
Biden and Harris,Democratic Party,Presidential Electors for,Ansonia,747,Ward 1 Ansonia Armory
Trump and Pence,Republican Party,Presidential Electors for,Ansonia,436,Ward 1 Ansonia Armory
Jorgensen and Cohen,Libertarian Party,Presidential Electors for,Ansonia,8,Ward 1 Ansonia Armory
Hawkins and Walker,Green Party,Presidential Electors for,Ansonia,3,Ward 1 Ansonia Armory
Carroll and Patel,Write In,Presidential Electors for,Ansonia,0,Ward 1 Ansonia Armory
Charles and Wallace,Write In,Presidential Electors for,Ansonia,0,Ward 1 Ansonia Armory
De La Fuenta and Richardson,Write In,Presidential Electors for,Ansonia,0,Ward 1 Ansonia Armory
Howard and Howard,Write In,Presidential Electors for,Ansonia,0,Ward 1 Ansonia Armory
Klojzy and LeMay,Write In,Presidential Electors for,Ansonia,0,Ward 1 Ansonia Armory
Simmons and Dow,Write In,Presidential Electors for,Ansonia,0,Ward 1 Ansonia Armory
Simmons and Roze,Write In,Presidential Electors for,Ansonia,0,Ward 1 Ansonia Armory
