District	HS_only	Name	Notes
Regional High School District 01	FALSE	Regional School District No. 1	Housatonic Valley
Regional High School District 04	FALSE	Regional School District #4	Valley Regional High School
Regional High School District 05	TRUE	Amity Regional School District	
Regional High School District 06	FALSE	Regional School District No. 6	
Regional High School District 07	TRUE	Northwestern Regional School District	High school and middle school
Regional High School District 08	TRUE	Region 8 Schools	RHAM
Regional High School District 09	TRUE	Easton-Redding	
Regional High School District 10	FALSE	Regional School District 10	
Regional High School District 11	FALSE	Regional District 11	Scotland and Hampton are not in K-12
Regional High School District 12	FALSE	Regional School District 12	
Regional High School District 13	FALSE	Regional School District 13	
Regional High School District 14	FALSE	Region 14 Schools	
Regional High School District 15	FALSE	Pomperaug	
Regional High School District 16	FALSE	Region 16	
Regional High School District 17	FALSE	Haddam-Killingworth	
Regional High School District 18	TRUE	Lyme	
Regional High School District 19	TRUE	E. O. Smith High School	
